,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
RNU4-8P_hg,0.0,0.0,2.7437012923614075e-05,0.0,0.0,0.0,0.0003434289860067127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-1051P_hg,0.0,0.0,2.471013691615543e-05,0.0,0.0,0.00025408545693025706,0.0,0.0,0.0,0.0,0.0,1.5828215812455497e-05,0.0,0.0,0.0
RNU6-1147P_hg,0.0,0.0,0.0,0.00016077071027200464,8.880858247387367e-06,2.4048663029403015e-05,0.0,0.00022200476209172071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-1186P_hg,0.0,0.0,0.0,1.6252306127335174e-05,0.00013232724558415797,0.0,0.0,0.0,8.729973835749124e-06,2.935374014658927e-06,0.0,0.0,0.0,0.00021328173457434266,0.0
RNU6-1245P_hg,0.0,0.0003735754234750374,7.620274800982709e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503842497994454,0.0,0.0,0.0
RNU6-1254P_hg,0.0,0.0,0.0,0.00011964144071513896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000718308524686667,0.0004246586192290925,0.0,0.0
RNU6-1337P_hg,0.0,0.0,0.0,0.0,0.0,0.0001350760051230648,0.0,0.00039036205667559526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-327P_hg,0.0,0.0,0.0002446631089904969,0.0,0.001938536669656787,0.0,0.0,0.0,0.0,0.0,1.0149765047634e-05,0.0,0.0,0.0,0.0
RNU6-407P_hg,0.0,0.014652872674329914,0.00032850882411286175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035198625395579854,0.004743875049379557,0.0,0.0,0.0
RNU6-431P_hg,0.00023091410054069521,0.0,0.0,0.0,0.0,0.0005391538747709941,0.0,0.0,0.00010142407748931679,0.00016626451320001,0.0,0.0,0.0,0.0,0.0
RNU6-490P_hg,0.00013943575115924278,0.0,0.0,0.00012933596418707136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007572899243594433,0.0,0.0,0.0
RNU6-517P_hg,0.0,1.8997908215237613e-05,0.0,0.0,0.0,0.0,0.0,7.659703889367807e-05,0.0,0.0,0.0,0.00018796729420410426,0.0,0.0,0.0
RNU6-605P_hg,0.0,1.541823702158593e-05,0.0,0.00013643889365975333,0.0,7.071161210851953e-05,0.0,1.4942808865862102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-665P_hg,0.0,0.0005315969587321301,0.0,8.528997828115533e-05,0.0,2.8595247327307048e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-769P_hg,0.0,0.0014317592022490457,0.0008035231471634374,0.0,0.0015889428793235388,0.0,0.00011256754475375692,0.001124570843957382,0.0,0.0,0.0,0.0012208422419788887,0.0,0.0,0.0008546816617314593
RNU6-819P_hg,0.0,7.355518336381942e-05,0.0,0.0,0.0,7.827430782261992e-05,0.0,0.0,0.0,0.0,0.0,0.0005474628017205151,0.0,0.0,0.0
RNU6-88P_hg,0.0,0.0,0.0,0.0007543261557798182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.256825547626387e-05,0.0
RNU6ATAC15P_hg,0.0,0.0,0.0002762189159158128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017481051301618908
RNVU1-26_hg,0.0,0.0017989509392481048,0.0,0.0,0.0,0.0008870968972373784,0.0,0.0006198326713509014,9.864514999621299e-05,0.004070018493622335,0.00117101099203441,0.0,0.0,0.0,0.0
RNVU1-8_hg,0.0,0.0,0.0,0.0,0.0,0.0023275120179229595,0.0,8.988330561433993e-05,0.0,0.0012652108302843403,2.8604536126666288e-05,0.0,0.0,0.0,0.0
ROBO2_hg,0.0,0.035698791212819776,0.0,0.0,0.0,0.01000795387720846,0.0,0.02215532227549208,0.0076165045666870485,0.0,0.0,0.0024736385613661764,0.0,0.05351258311330187,0.09193739239981306
ROCK1_hg,0.0,0.7944915716600226,0.44167896444155724,0.0,0.8922051908672598,0.26597228760544084,0.0,0.0,0.0,0.6567066181530806,0.2333428166695053,0.7444567948710307,0.43812907017622876,1.3807587353670403,0.6341197198860277
