,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
Slc7a12_mm,0.0,0.0,2.8610797852662907e-05,0.0,0.0,6.049057108301593e-05,0.00014795684842101303,0.0002359068507495936,0.0001427985717786702,0.0,0.0,0.0,0.0,0.0,0.0
Slc7a14_mm,0.0,0.0,0.04037676988015351,0.0,0.0,0.0,0.0,0.0,0.21688278396791488,0.03275836696885918,0.0,0.0,0.05052436174419205,0.01451207113873872,0.0
Slc9a3r2_mm,0.0,0.0,0.0017181523391170972,0.004583101658567178,0.005092843685690605,0.0004500220399907938,0.0,0.0,0.000163689041192124,0.00593727441840784,0.0,0.0,0.0,0.0012900352754723358,0.0
Slc9a5_mm,0.0,0.0,0.026850809648696045,0.000304187567053658,0.05119399940020891,0.0,0.0,0.16044669301338665,0.0,0.1750284274401614,0.0,0.0,0.0,0.0,0.0
Slc9a8_mm,0.2704166885465711,0.0,0.0,0.03830738489829193,0.24077704075862527,0.0,0.0,0.08456714215108915,0.0,0.30316160971857653,0.3832542202472122,0.0,0.028364479793009458,0.02047345850611759,0.08494692017056439
Slc9a9_mm,0.0,0.0,0.0,0.034207831206634225,0.04994133309290153,0.0,0.0,0.0,0.0,0.019397829269091376,0.0,0.0,0.0,0.0,0.0
Slc9b1_mm,0.0,0.011632758469095238,0.0761631569133461,0.05208237233350877,0.0,0.0,0.0,0.0,0.0,0.01797067984409359,0.0,0.0,0.0,0.019488789855943534,0.00019644056254352422
Slco1c1_mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.688182443402526e-06,0.0,9.327456585495302e-05,0.0,0.0,0.0,0.0002699461785239831,0.0
Slco4a1_mm,0.07466584063454325,0.0,0.0,0.01197519757578378,0.04799335652971638,0.0,0.0,0.01686078621696323,0.014585435140894961,0.03540275352752291,0.0,0.00031937862592582895,0.002045925950392973,0.0,0.0
Slfn2_mm,0.0,0.0,0.007644043235793541,0.02918576013366715,0.0,0.0,0.0,0.09160869160831592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slfn8_mm,0.06333120547431963,0.0,0.06295926964565263,0.46843424276835904,0.0,0.0,0.0,0.0,0.5941245847011838,0.46540256595931784,0.35841072293643494,0.10385115383018048,0.0,0.0,0.3313776337533125
Slitrk6_mm,0.0,0.0,0.0,0.0003345377095563125,0.0,0.0,0.0,6.760333503359256e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slk_mm,0.6225111085926316,0.2060370834554121,0.023907260316982558,1.059911095045918,0.2216087588990518,0.26236009504122715,0.0,1.0198598902344398,0.0,1.758445581001281,0.8969625332375364,0.20582539596402777,0.48416660518822024,0.0,0.8500825506222489
Slpi_mm,0.0,0.04504117673324882,0.0,0.7039734863453111,0.24378183318446378,0.0,0.5889020589888427,0.23831683980537577,0.0,0.02412892914032532,0.0,0.0,0.0,0.7449533026886429,0.0
Sltm_mm,1.2088562029821919,0.18064665652328174,0.46583879680135853,0.2783597820439579,0.264449979047837,0.433737440938458,0.02217668799055098,0.2809359948904224,0.2094845217073312,2.1681703201963303,2.1669600021041684,0.2139979538815949,1.798942628094061,0.0,0.872067508438297
Slx4_mm,0.0,0.01579746337178175,0.0596352088925125,0.502314765979635,0.006373792180190935,0.0,0.0,0.009843288764698574,0.10180613511458268,0.28753650016924387,0.4592790000964293,0.10627503682192915,0.12364786218200571,0.0,0.15467188539465718
Smad3_mm,0.0,0.0,0.0,0.1955315913432452,0.12397195711634802,0.0,0.0013141248725239676,0.11717454048577465,0.059500565960386456,0.12217346759748515,0.0,0.04340267786769683,0.0,0.08151221569118794,0.0
Smarca4_mm,0.0,0.16054639132077453,0.15157544183634794,2.7903242885787,0.0,1.0626522521444206,0.0,0.1595523344200866,0.0,0.2837520021500431,3.00767785121198,0.0,2.0558457751929144,0.09037645824988051,1.815246366869788
Smarcc2_mm,0.0,0.0,0.03930730067069084,0.48649653584836006,0.28878731284361836,0.06958454403671561,0.043610345453110044,0.0,0.3162366158044538,0.4924063813980303,0.7086504141220883,0.017381966007512285,0.25753819482495693,0.0,0.75496736249273
Smg9_mm,0.1333726007999404,0.0,0.0,0.1431958994526087,0.1528583845092635,0.0,0.0,0.0577725075037441,0.0,0.15238735368615916,0.5667160748006213,0.0,0.04013612450956594,0.01424744062106685,0.034957296343589496
Smgc_mm,0.0,5.605312939851226e-05,0.0,0.0,0.0,0.0002758737935749645,0.0,0.0003668350274246311,0.0,0.001101686776176133,0.0,0.0,0.0,0.0,0.0
Smim10l2a_mm,0.0,0.0,9.245634589609133e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002721850772550235,0.0
Smim14_mm,0.1258151038366602,0.0,0.12595047610394192,0.4233017352163568,0.30601931849526953,0.0,0.008486636653921496,0.38193265264511767,0.0,0.1499820281973423,0.0,0.0,0.0,0.46859754875868076,0.0
Smndc1_mm,0.060893166194926296,0.0,0.0,0.08043275459586775,0.10234318842528364,0.11988915262924166,0.15140815217579465,0.10320594345200305,0.04297632663343015,0.6184608496262807,0.742352434414545,0.06660886247206416,0.022623207975179308,0.016177333284164166,0.03989049690432665
Smpd2_mm,0.0,0.0,0.0037364788477157076,0.012470993467339486,0.0,2.411678208383284e-05,0.0,0.00010515119751322596,0.0,0.007436875042508693,0.0,0.0,0.0,0.006695881703114339,0.0
Smpdl3a_mm,0.0,0.0,0.00015354664605448935,0.0,0.0005284713996361637,4.6658356155682386e-05,0.0,0.0,0.0,0.0009416620095104392,0.0,0.0,0.0,0.0008445501546590635,0.0
Smtn_mm,0.14968599490417775,0.0,0.0,0.4985986561008021,0.03999066337020709,0.03724503316084014,0.008430139653740794,0.0,0.2345188897924811,0.049734420312822526,0.5986716874622882,0.0,0.0,0.07842230902081092,0.6494610288272672
Sncaip_mm,0.0,0.0,0.0,4.300537513423553e-05,6.702671749243983e-05,0.0,4.5292039577254335e-05,0.0,0.00032206104172080477,0.00010366158430297705,0.0,0.0,0.0,0.0,0.0
Sncg_mm,0.0,0.0,0.00368031937987365,0.00040167452406736977,0.0,0.0,0.0,0.004559250496450997,0.0,0.0016797196586822009,0.0,0.0,0.0,0.0015903941801299446,0.0
Snhg12_mm,0.3911454665801161,0.0,0.11118308382751393,0.0460818445610418,1.3211026994661257,0.15340218359016283,1.1430928413358037,0.0,0.0,0.6200555720138472,0.4947820525585817,0.0,0.0,0.20112217960550396,0.0
Snhg14_mm,0.0,0.7383493530252402,8.30312522083876,0.20903363539932154,0.3400137838259104,0.10240851147925265,0.4884503326457197,0.0,0.20198155899473627,0.12972347047930455,0.0,0.07437115940919249,0.7683508705763092,1.5133127554328816,0.6279421789965577
Snhg17_mm,0.265306637893315,0.0,0.017207860981065567,0.13563764791010086,0.1659190513916878,0.01290732704201311,0.0,0.0,0.014930909027354625,0.39178610091563165,0.36313261386797263,0.0,0.004298072636148856,0.1589037772871683,0.09096134947816568
Snhg1_mm,0.4562346590666292,0.0,0.0,0.0,0.4696281908345125,0.13172991156172276,1.677262609078919,0.0,0.04400569716684002,0.645074111421642,0.6854547843350333,0.11748022474041674,0.09271391999098808,0.16029798561891467,0.0
Snhg20_mm,0.18563592692396105,0.0,0.0,0.22303509699882665,0.190757777758129,0.011123625552871044,0.0,0.05801014759316928,0.0,0.17598553575411446,0.06713498596732884,0.0,0.001107310359864455,0.05794643926577925,0.0
Snhg5_mm,0.366849754253577,0.0,0.0,0.0,0.8258909683022612,0.08755120360267363,0.0821302996078296,0.0,0.0,0.5047017358630164,0.5962855829849447,0.0,0.25497056241847804,0.41873662839428294,0.7859236681248004
